DIA,DISTRICTE,CONSUM,YEAR,MONTH,DAY,Any,Nom_Districte,Index_Gini
2019-01-01,SANT ANDREU,1890,2019,1,1,2019,SANT ANDREU,28.86
2019-01-02,SANT ANDREU,1835,2019,1,2,2019,SANT ANDREU,28.86
2019-01-03,SANT ANDREU,1812,2019,1,3,2019,SANT ANDREU,28.86
2019-01-04,SANT ANDREU,1813,2019,1,4,2019,SANT ANDREU,28.86
2019-01-05,SANT ANDREU,1704,2019,1,5,2019,SANT ANDREU,28.86
2019-01-06,SANT ANDREU,1570,2019,1,6,2019,SANT ANDREU,28.86
2019-01-07,SANT ANDREU,1703,2019,1,7,2019,SANT ANDREU,28.86
2019-01-08,SANT ANDREU,1757,2019,1,8,2019,SANT ANDREU,28.86
2019-01-09,SANT ANDREU,1783,2019,1,9,2019,SANT ANDREU,28.86
2019-01-10,SANT ANDREU,1727,2019,1,10,2019,SANT ANDREU,28.86
2019-01-11,SANT ANDREU,1754,2019,1,11,2019,SANT ANDREU,28.86
2019-01-12,SANT ANDREU,1692,2019,1,12,2019,SANT ANDREU,28.86
2019-01-13,SANT ANDREU,1673,2019,1,13,2019,SANT ANDREU,28.86
2019-01-14,SANT ANDREU,1756,2019,1,14,2019,SANT ANDREU,28.86
2019-01-15,SANT ANDREU,1774,2019,1,15,2019,SANT ANDREU,28.86
2019-01-16,SANT ANDREU,1759,2019,1,16,2019,SANT ANDREU,28.86
2019-01-17,SANT ANDREU,1691,2019,1,17,2019,SANT ANDREU,28.86
2019-01-18,SANT ANDREU,1718,2019,1,18,2019,SANT ANDREU,28.86
2019-01-19,SANT ANDREU,1581,2019,1,19,2019,SANT ANDREU,28.86
2019-01-20,SANT ANDREU,1544,2019,1,20,2019,SANT ANDREU,28.86
2019-01-21,SANT ANDREU,1601,2019,1,21,2019,SANT ANDREU,28.86
2019-01-22,SANT ANDREU,1645,2019,1,22,2019,SANT ANDREU,28.86
2019-01-23,SANT ANDREU,1706,2019,1,23,2019,SANT ANDREU,28.86
2019-01-24,SANT ANDREU,1603,2019,1,24,2019,SANT ANDREU,28.86
2019-01-25,SANT ANDREU,1679,2019,1,25,2019,SANT ANDREU,28.86
2019-01-26,SANT ANDREU,1594,2019,1,26,2019,SANT ANDREU,28.86
2019-01-27,SANT ANDREU,1552,2019,1,27,2019,SANT ANDREU,28.86
