DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-14,8036,597,2021,4,14,Abril,12.9,Indústria,9487
2021-04-03,8004,408,2021,4,3,Abril,12.9,Indústria,181905
2021-04-01,8027,1831,2021,4,1,Abril,12.9,Indústria,4800
2021-04-05,8031,1046,2021,4,5,Abril,12.9,Indústria,1723
2021-04-15,8014,440,2021,4,15,Abril,12.9,Indústria,13766
2021-04-04,8012,240,2021,4,4,Abril,12.9,Indústria,5558
2021-04-08,8020,427,2021,4,8,Abril,12.9,Indústria,48619
2021-04-24,8027,1707,2021,4,24,Abril,12.9,Indústria,4495
2021-04-26,8004,469,2021,4,26,Abril,12.9,Indústria,314567
2021-04-26,8016,5570,2021,4,26,Abril,12.9,Indústria,5539
2021-04-05,8035,1025,2021,4,5,Abril,12.9,Indústria,1913
2021-04-02,8023,601,2021,4,2,Abril,12.9,Indústria,1735
2021-04-03,8016,26927,2021,4,3,Abril,12.9,Indústria,4114
2021-04-01,8019,534,2021,4,1,Abril,12.9,Indústria,23731
2021-04-24,8019,558,2021,4,24,Abril,12.9,Indústria,14953
2021-04-27,8012,270,2021,4,27,Abril,12.9,Indústria,9518
2021-04-01,8009,363,2021,4,1,Abril,12.9,Indústria,7980
2021-04-15,8024,364,2021,4,15,Abril,12.9,Indústria,8091
2021-04-14,8006,406,2021,4,14,Abril,12.9,Indústria,16726
2021-04-08,8010,486,2021,4,8,Abril,12.9,Indústria,5113
2021-04-03,8038,451,2021,4,3,Abril,12.9,Indústria,192178
2021-04-11,8040,10492,2021,4,11,Abril,12.9,Indústria,264686
2021-04-16,8033,12402,2021,4,16,Abril,12.9,Indústria,1965
2021-04-26,8038,633,2021,4,26,Abril,12.9,Indústria,264982
2021-04-05,8013,304,2021,4,5,Abril,12.9,Indústria,9862
2021-04-27,8034,1132,2021,4,27,Abril,12.9,Indústria,10161
2021-04-21,8041,509,2021,4,21,Abril,12.9,Indústria,7458
2021-04-28,8035,1019,2021,4,28,Abril,12.9,Indústria,2779
2021-04-24,8009,509,2021,4,24,Abril,12.9,Indústria,7206
2021-04-18,8030,21256,2021,4,18,Abril,12.9,Indústria,146889
2021-04-02,8008,528,2021,4,2,Abril,12.9,Indústria,5169
2021-04-03,8022,641,2021,4,3,Abril,12.9,Indústria,4090
2021-04-24,8037,435,2021,4,24,Abril,12.9,Indústria,3823
2021-04-25,8020,310,2021,4,25,Abril,12.9,Indústria,31784
2021-04-15,8032,290,2021,4,15,Abril,12.9,Indústria,2474
2021-04-01,8021,416,2021,4,1,Abril,12.9,Indústria,12972
2021-04-13,8007,685,2021,4,13,Abril,12.9,Indústria,21965
