DIA,DISTRICTE,CONSUM,YEAR,MONTH,DAY,Nombre,CONSUMPTION_PER_POPULATION
2019-01-01,SANT ANDREU,1890,2019,1,1,150264,0.012577862961188308
2019-01-02,SANT ANDREU,1835,2019,1,2,150264,0.012211840494063781
2019-01-03,SANT ANDREU,1812,2019,1,3,150264,0.01205877655326625
2019-01-04,SANT ANDREU,1813,2019,1,4,150264,0.01206543150721397
2019-01-05,SANT ANDREU,1704,2019,1,5,150264,0.011340041526912634
2019-01-06,SANT ANDREU,1570,2019,1,6,150264,0.01044827769791833
2019-01-07,SANT ANDREU,1703,2019,1,7,150264,0.011333386572964916
2019-01-08,SANT ANDREU,1757,2019,1,8,150264,0.011692754086141724
2019-01-09,SANT ANDREU,1783,2019,1,9,150264,0.011865782888782409
2019-01-10,SANT ANDREU,1727,2019,1,10,150264,0.011493105467710164
2019-01-11,SANT ANDREU,1754,2019,1,11,150264,0.011672789224298569
2019-01-12,SANT ANDREU,1692,2019,1,12,150264,0.011260182079540009
2019-01-13,SANT ANDREU,1673,2019,1,13,150264,0.011133737954533355
2019-01-14,SANT ANDREU,1756,2019,1,14,150264,0.011686099132194006
2019-01-15,SANT ANDREU,1774,2019,1,15,150264,0.011805888303252942
2019-01-16,SANT ANDREU,1759,2019,1,16,150264,0.01170606399403716
2019-01-17,SANT ANDREU,1691,2019,1,17,150264,0.011253527125592291
2019-01-18,SANT ANDREU,1718,2019,1,18,150264,0.011433210882180696
2019-01-19,SANT ANDREU,1581,2019,1,19,150264,0.010521482191343235
2019-01-20,SANT ANDREU,1544,2019,1,20,150264,0.010275248895277644
2019-01-21,SANT ANDREU,1601,2019,1,21,150264,0.010654581270297609
2019-01-22,SANT ANDREU,1645,2019,1,22,150264,0.010947399243997232
2019-01-23,SANT ANDREU,1706,2019,1,23,150264,0.01135335143480807
2019-01-24,SANT ANDREU,1603,2019,1,24,150264,0.010667891178193048
2019-01-25,SANT ANDREU,1679,2019,1,25,150264,0.011173667678219666
2019-01-26,SANT ANDREU,1594,2019,1,26,150264,0.01060799659266358
2019-01-27,SANT ANDREU,1552,2019,1,27,150264,0.010328488526859395
2019-01-28,SANT ANDREU,1730,2019,1,28,150264,0.011513070329553319
2019-01-29,SANT ANDREU,1721,2019,1,29,150264,0.01145317574402385
2019-01-30,SANT ANDREU,1735,2019,1,30,150264,0.011546345099291913
2019-01-31,SANT ANDREU,1717,2019,1,31,150264,0.011426555928232976
2019-02-01,SANT ANDREU,1687,2019,2,1,150264,0.011226907309801417
2019-02-02,SANT ANDREU,1762,2019,2,2,150264,0.011726028855880317
2019-02-03,SANT ANDREU,1644,2019,2,3,150264,0.010940744290049513
2019-02-04,SANT ANDREU,1701,2019,2,4,150264,0.011320076665069477
2019-02-05,SANT ANDREU,1678,2019,2,5,150264,0.011167012724271948
2019-02-06,SANT ANDREU,1712,2019,2,6,150264,0.011393281158494382
2019-02-07,SANT ANDREU,1668,2019,2,7,150264,0.01110046318479476
2019-02-08,SANT ANDREU,1751,2019,2,8,150264,0.011652824362455412
2019-02-09,SANT ANDREU,1803,2019,2,9,150264,0.011998881967736783
2019-02-10,SANT ANDREU,1610,2019,2,10,150264,0.010714475855827077
2019-02-11,SANT ANDREU,1721,2019,2,11,150264,0.01145317574402385
2019-02-12,SANT ANDREU,1646,2019,2,12,150264,0.01095405419794495
2019-02-13,SANT ANDREU,1704,2019,2,13,150264,0.011340041526912634
2019-02-14,SANT ANDREU,1734,2019,2,14,150264,0.011539690145344195
2019-02-15,SANT ANDREU,1846,2019,2,15,150264,0.012285044987488686
2019-02-16,SANT ANDREU,1696,2019,2,16,150264,0.011286801895330885
2019-02-17,SANT ANDREU,1662,2019,2,17,150264,0.01106053346110845
2019-02-18,SANT ANDREU,1667,2019,2,18,150264,0.011093808230847043
2019-02-19,SANT ANDREU,1599,2019,2,19,150264,0.010641271362402172
2019-02-20,SANT ANDREU,1761,2019,2,20,150264,0.011719373901932598
2019-02-21,SANT ANDREU,1652,2019,2,21,150264,0.010993983921631261
2019-02-22,SANT ANDREU,1740,2019,2,22,150264,0.011579619869030507
2019-02-23,SANT ANDREU,1653,2019,2,23,150264,0.011000638875578981
2019-02-24,SANT ANDREU,1640,2019,2,24,150264,0.010914124474258638
2019-02-25,SANT ANDREU,1762,2019,2,25,150264,0.011726028855880317
2019-02-26,SANT ANDREU,1725,2019,2,26,150264,0.011479795559814727
2019-02-27,SANT ANDREU,1768,2019,2,27,150264,0.011765958579566629
2019-02-28,SANT ANDREU,1785,2019,2,28,150264,0.011879092796677848
2019-03-01,SANT ANDREU,1729,2019,3,1,150264,0.011506415375605601
2019-03-02,SANT ANDREU,1697,2019,3,2,150264,0.011293456849278603
2019-03-03,SANT ANDREU,1696,2019,3,3,150264,0.011286801895330885
2019-03-04,SANT ANDREU,1765,2019,3,4,150264,0.011745993717723474
2019-03-05,SANT ANDREU,1742,2019,3,5,150264,0.011592929776925944
2019-03-06,SANT ANDREU,1632,2019,3,6,150264,0.01086088484267689
2019-03-07,SANT ANDREU,1756,2019,3,7,150264,0.011686099132194006
2019-03-08,SANT ANDREU,1740,2019,3,8,150264,0.011579619869030507
2019-03-09,SANT ANDREU,1698,2019,3,9,150264,0.011300111803226322
2019-03-10,SANT ANDREU,1686,2019,3,10,150264,0.011220252355853697
2019-03-11,SANT ANDREU,1764,2019,3,11,150264,0.011739338763775755
2019-03-12,SANT ANDREU,1717,2019,3,12,150264,0.011426555928232976
2019-03-13,SANT ANDREU,1720,2019,3,13,150264,0.011446520790076133
2019-03-14,SANT ANDREU,1699,2019,3,14,150264,0.01130676675717404
2019-03-15,SANT ANDREU,1727,2019,3,15,150264,0.011493105467710164
2019-03-16,SANT ANDREU,1684,2019,3,16,150264,0.01120694244795826
2019-03-17,SANT ANDREU,1693,2019,3,17,150264,0.011266837033487728
2019-03-18,SANT ANDREU,1720,2019,3,18,150264,0.011446520790076133
2019-03-19,SANT ANDREU,1809,2019,3,19,150264,0.012038811691423096
2019-03-20,SANT ANDREU,1699,2019,3,20,150264,0.01130676675717404
2019-03-21,SANT ANDREU,1615,2019,3,21,150264,0.01074775062556567
