DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-14,8036,597,2021,4,14,Abril,12.9,Residencial,93768
2021-04-03,8004,408,2021,4,3,Abril,12.9,Residencial,113620
2021-04-01,8027,1831,2021,4,1,Abril,12.9,Residencial,173196
2021-04-05,8031,1046,2021,4,5,Abril,12.9,Residencial,112638
2021-04-15,8014,440,2021,4,15,Abril,12.9,Residencial,198209
2021-04-04,8012,240,2021,4,4,Abril,12.9,Residencial,97033
2021-04-08,8020,427,2021,4,8,Abril,12.9,Residencial,139730
2021-04-24,8027,1707,2021,4,24,Abril,12.9,Residencial,187562
2021-04-26,8004,469,2021,4,26,Abril,12.9,Residencial,132684
2021-04-26,8016,5570,2021,4,26,Abril,12.9,Residencial,151392
2021-04-05,8035,1025,2021,4,5,Abril,12.9,Residencial,85755
2021-04-02,8023,601,2021,4,2,Abril,12.9,Residencial,103039
2021-04-03,8016,26927,2021,4,3,Abril,12.9,Residencial,132220
2021-04-01,8019,534,2021,4,1,Abril,12.9,Residencial,151189
2021-04-24,8019,558,2021,4,24,Abril,12.9,Residencial,153866
2021-04-27,8012,270,2021,4,27,Abril,12.9,Residencial,123223
2021-04-01,8009,363,2021,4,1,Abril,12.9,Residencial,67784
2021-04-15,8024,364,2021,4,15,Abril,12.9,Residencial,208758
2021-04-14,8006,406,2021,4,14,Abril,12.9,Residencial,165324
2021-04-08,8010,486,2021,4,8,Abril,12.9,Residencial,52241
2021-04-03,8038,451,2021,4,3,Abril,12.9,Residencial,104935
2021-04-11,8040,10492,2021,4,11,Abril,12.9,Residencial,36059
2021-04-16,8033,12402,2021,4,16,Abril,12.9,Residencial,69795
2021-04-26,8038,633,2021,4,26,Abril,12.9,Residencial,121387
2021-04-05,8013,304,2021,4,5,Abril,12.9,Residencial,199787
2021-04-27,8034,1132,2021,4,27,Abril,12.9,Residencial,169962
2021-04-21,8041,509,2021,4,21,Abril,12.9,Residencial,163563
2021-04-28,8035,1019,2021,4,28,Abril,12.9,Residencial,92574
2021-04-24,8009,509,2021,4,24,Abril,12.9,Residencial,69853
2021-04-18,8030,21256,2021,4,18,Abril,12.9,Residencial,229743
2021-04-02,8008,528,2021,4,2,Abril,12.9,Residencial,41713
2021-04-03,8022,641,2021,4,3,Abril,12.9,Residencial,92737
2021-04-24,8037,435,2021,4,24,Abril,12.9,Residencial,48156
2021-04-25,8020,310,2021,4,25,Abril,12.9,Residencial,140900
2021-04-15,8032,290,2021,4,15,Abril,12.9,Residencial,160015
2021-04-01,8021,416,2021,4,1,Abril,12.9,Residencial,139148
2021-04-13,8007,685,2021,4,13,Abril,12.9,Residencial,188299
2021-04-14,8018,619,2021,4,14,Abril,12.9,Residencial,182429
2021-04-22,8033,15877,2021,4,22,Abril,12.9,Residencial,67505
2021-04-13,8029,507,2021,4,13,Abril,12.9,Residencial,243926
2021-04-15,8041,561,2021,4,15,Abril,12.9,Residencial,159891
2021-04-05,8026,349,2021,4,5,Abril,12.9,Residencial,100886
2021-04-13,8017,948,2021,4,13,Abril,12.9,Residencial,189925
2021-04-11,8013,418,2021,4,11,Abril,12.9,Residencial,236026
2021-04-16,8015,385,2021,4,16,Abril,12.9,Residencial,200113
2021-04-07,8017,1001,2021,4,7,Abril,12.9,Residencial,191737
2021-04-01,8037,293,2021,4,1,Abril,12.9,Residencial,45908
2021-04-25,8010,449,2021,4,25,Abril,12.9,Residencial,43903
2021-04-11,8035,881,2021,4,11,Abril,12.9,Residencial,106290
2021-04-15,8002,469,2021,4,15,Abril,12.9,Residencial,105841
2021-04-22,8005,687,2021,4,22,Abril,12.9,Residencial,160388
2021-04-11,8042,2274,2021,4,11,Abril,12.9,Residencial,128976
2021-04-02,8015,348,2021,4,2,Abril,12.9,Residencial,155350
2021-04-11,8003,1012,2021,4,11,Abril,12.9,Residencial,146651
2021-04-21,8021,410,2021,4,21,Abril,12.9,Residencial,180693
2021-04-07,8029,491,2021,4,7,Abril,12.9,Residencial,242096
2021-04-04,8034,860,2021,4,4,Abril,12.9,Residencial,130446
2021-04-08,8008,466,2021,4,8,Abril,12.9,Residencial,56715
2021-04-30,8017,998,2021,4,30,Abril,12.9,Residencial,166613
2021-04-04,8009,413,2021,4,4,Abril,12.9,Residencial,59778
2021-04-10,8039,11913,2021,4,10,Abril,12.9,Residencial,22736
2021-04-30,8029,488,2021,4,30,Abril,12.9,Residencial,212162
2021-04-02,8033,10097,2021,4,2,Abril,12.9,Residencial,62403
2021-04-04,8027,1608,2021,4,4,Abril,12.9,Residencial,162955
2021-04-22,8015,479,2021,4,22,Abril,12.9,Residencial,194216
2021-04-09,8011,414,2021,4,9,Abril,12.9,Residencial,86033
2021-04-22,8023,739,2021,4,22,Abril,12.9,Residencial,136933
2021-04-18,8041,488,2021,4,18,Abril,12.9,Residencial,163416
2021-04-09,8001,439,2021,4,9,Abril,12.9,Residencial,123507
2021-04-28,8026,317,2021,4,28,Abril,12.9,Residencial,107526
2021-04-18,8032,301,2021,4,18,Abril,12.9,Residencial,173557
2021-04-19,8031,746,2021,4,19,Abril,12.9,Residencial,128166
2021-04-02,8005,506,2021,4,2,Abril,12.9,Residencial,131441
2021-04-12,8024,372,2021,4,12,Abril,12.9,Residencial,216594
2021-04-01,8012,232,2021,4,1,Abril,12.9,Residencial,106742
2021-04-23,8038,572,2021,4,23,Abril,12.9,Residencial,119734
2021-04-04,8019,671,2021,4,4,Abril,12.9,Residencial,132044
2021-04-29,8022,699,2021,4,29,Abril,12.9,Residencial,126509
2021-04-23,8004,458,2021,4,23,Abril,12.9,Residencial,128903
2021-04-18,8002,464,2021,4,18,Abril,12.9,Residencial,95755
2021-04-29,8016,7985,2021,4,29,Abril,12.9,Residencial,147316
2021-04-05,8008,557,2021,4,5,Abril,12.9,Residencial,43913
2021-04-24,8021,615,2021,4,24,Abril,12.9,Residencial,149024
2021-04-04,8021,474,2021,4,4,Abril,12.9,Residencial,123240
2021-04-30,8039,9040,2021,4,30,Abril,12.9,Residencial,21140
2021-04-21,8009,354,2021,4,21,Abril,12.9,Residencial,83020
2021-04-15,8001,460,2021,4,15,Abril,12.9,Residencial,124759
2021-04-06,8038,628,2021,4,6,Abril,12.9,Residencial,119581
2021-04-18,8024,365,2021,4,18,Abril,12.9,Residencial,214064
2021-04-28,8008,453,2021,4,28,Abril,12.9,Residencial,53597
2021-04-30,8007,660,2021,4,30,Abril,12.9,Residencial,167029
2021-04-02,8031,1060,2021,4,2,Abril,12.9,Residencial,105377
2021-04-21,8037,315,2021,4,21,Abril,12.9,Residencial,57809
2021-04-06,8004,442,2021,4,6,Abril,12.9,Residencial,129034
2021-04-23,8016,9867,2021,4,23,Abril,12.9,Residencial,148407
2021-04-21,8019,483,2021,4,21,Abril,12.9,Residencial,168315
2021-04-18,8014,470,2021,4,18,Abril,12.9,Residencial,201520
2021-04-14,8028,496,2021,4,14,Abril,12.9,Residencial,297090
2021-04-18,8021,627,2021,4,18,Abril,12.9,Residencial,158484
2021-04-15,8011,459,2021,4,15,Abril,12.9,Residencial,86877
2021-04-12,8032,316,2021,4,12,Abril,12.9,Residencial,165067
2021-04-29,8038,650,2021,4,29,Abril,12.9,Residencial,119042
2021-04-06,8016,118840,2021,4,6,Abril,12.9,Residencial,149029
2021-04-04,8037,354,2021,4,4,Abril,12.9,Residencial,40193
2021-04-23,8022,786,2021,4,23,Abril,12.9,Residencial,126735
2021-04-18,8037,331,2021,4,18,Abril,12.9,Residencial,52621
2021-04-29,8001,435,2021,4,29,Abril,12.9,Residencial,114026
2021-04-06,8022,2018,2021,4,6,Abril,12.9,Residencial,129845
2021-04-19,8033,18302,2021,4,19,Abril,12.9,Residencial,67678
2021-04-25,8031,1011,2021,4,25,Abril,12.9,Residencial,121852
2021-04-05,8010,362,2021,4,5,Abril,12.9,Residencial,44244
2021-04-11,8025,406,2021,4,11,Abril,12.9,Residencial,196090
2021-04-07,8012,231,2021,4,7,Abril,12.9,Residencial,132268
2021-04-18,8009,514,2021,4,18,Abril,12.9,Residencial,76341
2021-04-15,8030,5814,2021,4,15,Abril,12.9,Residencial,223290
2021-04-21,8027,1550,2021,4,21,Abril,12.9,Residencial,199865
2021-04-29,8011,662,2021,4,29,Abril,12.9,Residencial,79385
2021-04-17,8018,566,2021,4,17,Abril,12.9,Residencial,168281
2021-04-12,8002,465,2021,4,12,Abril,12.9,Residencial,107843
2021-04-29,8004,500,2021,4,29,Abril,12.9,Residencial,126136
2021-04-17,8006,348,2021,4,17,Abril,12.9,Residencial,155738
2021-04-05,8020,334,2021,4,5,Abril,12.9,Residencial,129576
2021-04-18,8027,886,2021,4,18,Abril,12.9,Residencial,203425
2021-04-01,8034,1163,2021,4,1,Abril,12.9,Residencial,142066
2021-04-17,8036,531,2021,4,17,Abril,12.9,Residencial,89771
2021-04-19,8023,570,2021,4,19,Abril,12.9,Residencial,138855
2021-04-10,8029,419,2021,4,10,Abril,12.9,Residencial,237813
2021-04-16,8005,542,2021,4,16,Abril,12.9,Residencial,166660
2021-04-18,8019,476,2021,4,18,Abril,12.9,Residencial,156851
2021-04-07,8039,8524,2021,4,7,Abril,12.9,Residencial,22624
2021-04-08,8026,312,2021,4,8,Abril,12.9,Residencial,111637
2021-04-19,8005,568,2021,4,19,Abril,12.9,Residencial,161436
2021-04-10,8007,777,2021,4,10,Abril,12.9,Residencial,182481
2021-04-04,8007,834,2021,4,4,Abril,12.9,Residencial,142159
2021-04-05,8042,4865,2021,4,5,Abril,12.9,Residencial,111003
2021-04-07,8007,539,2021,4,7,Abril,12.9,Residencial,184957
2021-04-10,8017,898,2021,4,10,Abril,12.9,Residencial,176641
2021-04-04,8039,5830,2021,4,4,Abril,12.9,Residencial,16046
2021-04-01,8011,376,2021,4,1,Abril,12.9,Residencial,72457
2021-04-27,8017,931,2021,4,27,Abril,12.9,Residencial,178360
2021-04-05,8003,363,2021,4,5,Abril,12.9,Residencial,124374
2021-04-28,8010,541,2021,4,28,Abril,12.9,Residencial,49765
2021-04-08,8025,452,2021,4,8,Abril,12.9,Residencial,194632
2021-04-19,8015,401,2021,4,19,Abril,12.9,Residencial,195925
2021-04-12,8001,425,2021,4,12,Abril,12.9,Residencial,126519
2021-04-27,8039,7681,2021,4,27,Abril,12.9,Residencial,20023
2021-04-13,8039,8873,2021,4,13,Abril,12.9,Residencial,18247
2021-04-05,8040,6572,2021,4,5,Abril,12.9,Residencial,36473
2021-04-24,8012,292,2021,4,24,Abril,12.9,Residencial,116137
2021-04-08,8013,467,2021,4,8,Abril,12.9,Residencial,229225
2021-04-25,8026,331,2021,4,25,Abril,12.9,Residencial,110137
2021-04-17,8028,500,2021,4,17,Abril,12.9,Residencial,305931
2021-04-26,8022,757,2021,4,26,Abril,12.9,Residencial,132108
2021-04-12,8011,368,2021,4,12,Abril,12.9,Residencial,88362
2021-04-28,8020,448,2021,4,28,Abril,12.9,Residencial,134600
2021-04-16,8008,510,2021,4,16,Abril,12.9,Residencial,58178
2021-04-21,8034,943,2021,4,21,Abril,12.9,Residencial,183240
2021-04-25,8008,591,2021,4,25,Abril,12.9,Residencial,45891
2021-04-22,8031,889,2021,4,22,Abril,12.9,Residencial,124297
2021-04-01,8024,376,2021,4,1,Abril,12.9,Residencial,172511
2021-04-19,8017,1051,2021,4,19,Abril,12.9,Residencial,189170
2021-04-08,8003,1076,2021,4,8,Abril,12.9,Residencial,143133
2021-04-26,8001,455,2021,4,26,Abril,12.9,Residencial,118170
2021-04-07,8034,1377,2021,4,7,Abril,12.9,Residencial,182624
2021-04-19,8008,519,2021,4,19,Abril,12.9,Residencial,57427
2021-04-03,8001,503,2021,4,3,Abril,12.9,Residencial,105179
2021-04-08,8042,8130,2021,4,8,Abril,12.9,Residencial,120004
