DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-14,8036,597,2021,4,14,Abril,12.9,Serveis,211917
2021-04-03,8004,408,2021,4,3,Abril,12.9,Serveis,122288
2021-04-01,8027,1831,2021,4,1,Abril,12.9,Serveis,171707
2021-04-05,8031,1046,2021,4,5,Abril,12.9,Serveis,50108
2021-04-15,8014,440,2021,4,15,Abril,12.9,Serveis,287422
2021-04-04,8012,240,2021,4,4,Abril,12.9,Serveis,74404
2021-04-08,8020,427,2021,4,8,Abril,12.9,Serveis,293217
2021-04-24,8027,1707,2021,4,24,Abril,12.9,Serveis,147854
2021-04-26,8004,469,2021,4,26,Abril,12.9,Serveis,144463
2021-04-26,8016,5570,2021,4,26,Abril,12.9,Serveis,133660
2021-04-05,8035,1025,2021,4,5,Abril,12.9,Serveis,267217
2021-04-02,8023,601,2021,4,2,Abril,12.9,Serveis,103950
2021-04-03,8016,26927,2021,4,3,Abril,12.9,Serveis,120724
2021-04-01,8019,534,2021,4,1,Abril,12.9,Serveis,148859
2021-04-24,8019,558,2021,4,24,Abril,12.9,Serveis,133811
2021-04-27,8012,270,2021,4,27,Abril,12.9,Serveis,103034
2021-04-01,8009,363,2021,4,1,Abril,12.9,Serveis,99656
2021-04-15,8024,364,2021,4,15,Abril,12.9,Serveis,126056
2021-04-14,8006,406,2021,4,14,Abril,12.9,Serveis,255467
2021-04-08,8010,486,2021,4,8,Abril,12.9,Serveis,92832
2021-04-03,8038,451,2021,4,3,Abril,12.9,Serveis,175970
2021-04-11,8040,10492,2021,4,11,Abril,12.9,Serveis,389246
2021-04-16,8033,12402,2021,4,16,Abril,12.9,Serveis,41456
2021-04-26,8038,633,2021,4,26,Abril,12.9,Serveis,226159
2021-04-05,8013,304,2021,4,5,Abril,12.9,Serveis,129209
2021-04-27,8034,1132,2021,4,27,Abril,12.9,Serveis,311982
2021-04-21,8041,509,2021,4,21,Abril,12.9,Serveis,92975
2021-04-28,8035,1019,2021,4,28,Abril,12.9,Serveis,321938
2021-04-24,8009,509,2021,4,24,Abril,12.9,Serveis,89251
