Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2020,1,Ciutat Vella,1,el Raval,1,27503
2020,1,Ciutat Vella,1,el Raval,2,21913
2020,1,Ciutat Vella,1,el Raval,3,24220
2020,1,Ciutat Vella,1,el Raval,4,27405
2020,1,Ciutat Vella,1,el Raval,5,23014
2020,1,Ciutat Vella,1,el Raval,6,25581
2020,1,Ciutat Vella,1,el Raval,7,25959
2020,1,Ciutat Vella,1,el Raval,8,21900
2020,1,Ciutat Vella,1,el Raval,9,24849
2020,1,Ciutat Vella,1,el Raval,10,23306
2020,1,Ciutat Vella,1,el Raval,11,21571
2020,1,Ciutat Vella,1,el Raval,12,25592
2020,1,Ciutat Vella,1,el Raval,13,27908
2020,1,Ciutat Vella,1,el Raval,14,26078
2020,1,Ciutat Vella,1,el Raval,15,26092
2020,1,Ciutat Vella,1,el Raval,16,26151
2020,1,Ciutat Vella,1,el Raval,17,25629
2020,1,Ciutat Vella,1,el Raval,18,24729
2020,1,Ciutat Vella,1,el Raval,19,24225
2020,1,Ciutat Vella,1,el Raval,20,33228
2020,1,Ciutat Vella,1,el Raval,21,29261
2020,1,Ciutat Vella,2,el Barri Gòtic,22,35901
2020,1,Ciutat Vella,2,el Barri Gòtic,23,32157
2020,1,Ciutat Vella,2,el Barri Gòtic,25,28715
2020,1,Ciutat Vella,2,el Barri Gòtic,26,32287
2020,1,Ciutat Vella,2,el Barri Gòtic,27,28592
2020,1,Ciutat Vella,2,el Barri Gòtic,28,28181
2020,1,Ciutat Vella,2,el Barri Gòtic,29,23909
2020,1,Ciutat Vella,2,el Barri Gòtic,30,27883
2020,1,Ciutat Vella,2,el Barri Gòtic,31,26734
2020,1,Ciutat Vella,3,la Barceloneta,32,28265
2020,1,Ciutat Vella,3,la Barceloneta,33,24249
2020,1,Ciutat Vella,3,la Barceloneta,34,23568
2020,1,Ciutat Vella,3,la Barceloneta,35,25673
2020,1,Ciutat Vella,3,la Barceloneta,36,31065
2020,1,Ciutat Vella,3,la Barceloneta,37,29260
2020,1,Ciutat Vella,3,la Barceloneta,38,23221
2020,1,Ciutat Vella,3,la Barceloneta,39,27220
2020,1,Ciutat Vella,3,la Barceloneta,40,26410
2020,1,Ciutat Vella,3,la Barceloneta,41,23231
2020,1,Ciutat Vella,3,la Barceloneta,42,29475
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,36840
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,33065
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,27678
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,26689
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,27208
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,23023
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,31075
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,28694
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,25823
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,41762
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,23897
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,26825
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,36612
2020,2,L'Eixample,5,el Fort Pienc,1,41567
2020,2,L'Eixample,5,el Fort Pienc,2,39902
2020,2,L'Eixample,5,el Fort Pienc,3,44746
2020,2,L'Eixample,5,el Fort Pienc,4,38010
2020,2,L'Eixample,5,el Fort Pienc,5,44131
2020,2,L'Eixample,5,el Fort Pienc,6,44608
2020,2,L'Eixample,5,el Fort Pienc,7,46596
2020,2,L'Eixample,5,el Fort Pienc,8,47359
2020,2,L'Eixample,5,el Fort Pienc,9,45114
2020,2,L'Eixample,5,el Fort Pienc,10,44385
2020,2,L'Eixample,5,el Fort Pienc,11,42063
2020,2,L'Eixample,5,el Fort Pienc,12,37373
2020,2,L'Eixample,5,el Fort Pienc,13,33221
2020,2,L'Eixample,5,el Fort Pienc,14,33962
2020,2,L'Eixample,5,el Fort Pienc,15,36729
2020,2,L'Eixample,5,el Fort Pienc,16,43800
2020,2,L'Eixample,5,el Fort Pienc,17,45900
2020,2,L'Eixample,5,el Fort Pienc,18,44397
2020,2,L'Eixample,5,el Fort Pienc,19,40691
2020,2,L'Eixample,5,el Fort Pienc,20,35944
2020,2,L'Eixample,6,la Sagrada Família,21,35070
2020,2,L'Eixample,6,la Sagrada Família,22,42090
2020,2,L'Eixample,6,la Sagrada Família,23,38465
2020,2,L'Eixample,6,la Sagrada Família,24,37901
2020,2,L'Eixample,6,la Sagrada Família,25,34880
2020,2,L'Eixample,6,la Sagrada Família,26,40173
2020,2,L'Eixample,6,la Sagrada Família,27,40752
2020,2,L'Eixample,6,la Sagrada Família,28,39674
2020,2,L'Eixample,6,la Sagrada Família,29,40639
2020,2,L'Eixample,6,la Sagrada Família,30,33197
2020,2,L'Eixample,6,la Sagrada Família,31,44782
2020,2,L'Eixample,6,la Sagrada Família,32,40779
2020,2,L'Eixample,6,la Sagrada Família,33,37293
2020,2,L'Eixample,6,la Sagrada Família,34,35287
