"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"01001","714","609","161","113","858","191","698","141","484","05-12-2021 11:00:05"
"01002","741","702","146","183","926","188","571","193","679","05-12-2021 11:00:05"
"01003","1942","1613","719","468","1984","384","1904","245","1406","05-12-2021 11:00:05"
"01004","1662","1337","353","335","2009","302","1539","320","1140","05-12-2021 11:00:05"
"01005","1282","1100","279","259","1542","302","1201","322","859","05-12-2021 11:00:05"
"01006","908","741","188","188","1089","184","686","254","709","05-12-2021 11:00:05"
"01007","1159","771","257","185","1344","144","859","220","851","05-12-2021 11:00:05"
"01008","1949","1349","480","368","2082","368","1342","249","1707","05-12-2021 11:00:05"
"01009","1184","1004","321","194","1441","232","1075","196","917","05-12-2021 11:00:05"
"01010","1266","1092","345","264","1546","203","982","194","1182","05-12-2021 11:00:05"
"01011","1727","1407","442","348","2087","257","1369","254","1511","05-12-2021 11:00:05"
"01012","986","937","242","190","1266","225","978","188","757","05-12-2021 11:00:05"
"01013","715","759","180","127","952","215","824","111","539","05-12-2021 11:00:05"
"01014","1133","919","207","204","1407","234","1025","158","869","05-12-2021 11:00:05"
"01015","1165","1110","288","227","1508","252","1058","221","996","05-12-2021 11:00:05"
"01016","1068","1046","255","219","1430","210","959","200","955","05-12-2021 11:00:05"
"01017","1306","1250","317","286","1709","244","1117","234","1205","05-12-2021 11:00:05"
"01018","781","765","187","170","974","215","809","147","590","05-12-2021 11:00:05"
"01019","1548","1330","343","275","1957","303","1279","358","1241","05-12-2021 11:00:05"
"01020","1057","1175","138","211","1523","360","1203","442","587","05-12-2021 11:00:05"
"01021","1046","1089","154","207","1468","306","1111","368","656","05-12-2021 11:00:05"
"01022","869","745","92","206","1097","219","720","271","623","05-12-2021 11:00:05"
"01023","997","1013","138","188","1390","294","1080","387","543","05-12-2021 11:00:05"
"01025","683","654","91","145","947","154","626","341","370","05-12-2021 11:00:05"
"01026","7224","2005","477","929","7375","448","1639","571","7019","05-12-2021 11:00:05"
"01027","744","777","110","152","1051","208","764","327","430","05-12-2021 11:00:05"
"01028","968","1003","144","215","1391","221","892","503","576","05-12-2021 11:00:05"
"01029","722","737","100","175","1040","144","580","365","514","05-12-2021 11:00:05"
"01030","1296","1254","230","276","1674","370","1295","452","803","05-12-2021 11:00:05"
"01031","870","780","140","140","1195","175","691","368","591","05-12-2021 11:00:05"
"01032","893","864","89","127","1254","287","986","325","446","05-12-2021 11:00:05"
"01033","548","525","80","71","758","164","574","227","272","05-12-2021 11:00:05"
"01034","474","445","48","67","661","143","510","212","197","05-12-2021 11:00:05"
"01035","595","594","69","107","836","177","641","241","307","05-12-2021 11:00:05"
"01036","567","632","103","125","739","232","868","138","193","05-12-2021 11:00:05"
"01037","629","689","95","121","828","274","921","180","217","05-12-2021 11:00:05"
"01038","781","720","103","111","1113","174","700","353","448","05-12-2021 11:00:05"
"01039","694","662","88","131","922","215","794","239","323","05-12-2021 11:00:05"
"01040","545","528","76","88","711","198","560","231","282","05-12-2021 11:00:05"
"01041","715","734","111","95","1097","146","702","312","435","05-12-2021 11:00:05"
"01042","823","950","165","137","1017","454","1316","197","260","05-12-2021 11:00:05"
"01043","846","825","174","121","1176","200","950","332","389","05-12-2021 11:00:05"
"01044","692","741","140","129","978","186","854","280","299","05-12-2021 11:00:05"
"01045","1006","992","102","162","1497","237","953","521","524","05-12-2021 11:00:05"
"01046","969","905","135","187","1351","201","833","479","562","05-12-2021 11:00:05"
"01047","862","906","120","151","1250","247","907","349","512","05-12-2021 11:00:05"
"01048","1051","1095","227","207","1466","246","1139","381","626","05-12-2021 11:00:05"
"01049","720","790","196","142","970","202","765","280","465","05-12-2021 11:00:05"
"01050","795","790","133","136","1096","220","805","332","448","05-12-2021 11:00:05"
"01051","943","872","164","153","1348","150","855","361","599","05-12-2021 11:00:05"
"01052","1323","1250","247","360","1635","331","1384","507","682","05-12-2021 11:00:05"
"01053","916","988","135","163","1268","338","1145","329","430","05-12-2021 11:00:05"
"01054","632","610","86","79","902","175","646","243","353","05-12-2021 11:00:05"
"01055","634","655","137","87","747","318","913","187","189","05-12-2021 11:00:05"
"02001","634","718","154","132","788","278","950","135","267","05-12-2021 11:00:05"
"02002","2079","1669","364","380","2491","513","1702","268","1778","05-12-2021 11:00:05"
"02003","513","668","93","150","582","356","945","105","131","05-12-2021 11:00:05"
"02004","751","756","149","128","935","295","1006","194","307","05-12-2021 11:00:05"
"02005","955","1119","223","159","1148","544","1632","164","278","05-12-2021 11:00:05"
"02006","786","897","191","142","957","393","1207","185","291","05-12-2021 11:00:05"
"02007","568","692","105","96","722","337","933","169","158","05-12-2021 11:00:05"
"02008","920","1033","214","189","1134","416","1442","229","282","05-12-2021 11:00:05"
