"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2021,1,"Ciutat Vella",1,"el Raval","Dones","Espanya",11309
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Espanya",15290
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Espanya",13590
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Espanya",557
2021,2,"Eixample",5,"el Fort Pienc","Dones","Espanya",13286
2021,2,"Eixample",6,"la Sagrada Família","Dones","Espanya",4202
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Espanya",6255
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Espanya",8619
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Espanya",10519
2021,2,"Eixample",10,"Sant Antoni","Dones","Espanya",17734
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Espanya",21273
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Espanya",4116
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Espanya",10972
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Espanya",5138
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Espanya",2023
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Espanya",11322
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Espanya",7763
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Espanya",12059
2021,4,"Les Corts",19,"les Corts","Dones","Espanya",22203
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Espanya",13667
2021,4,"Les Corts",21,"Pedralbes","Dones","Espanya",7271
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Espanya",3311
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Espanya",4631
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Espanya",6085
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Espanya",20893
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Espanya",15768
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Espanya",11568
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Espanya",4056
2021,6,"Gràcia",29,"el Coll","Dones","Espanya",16422
2021,6,"Gràcia",30,"la Salut","Dones","Espanya",4508
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Espanya",13860
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Espanya",5113
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Espanya",3181
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Espanya",6307
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Espanya",2363
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Espanya",2820
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Espanya",289
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Espanya",12554
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Espanya",11802
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Espanya",11174
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Espanya",6530
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Espanya",1046
2021,7,"Horta-Guinardó",43,"Horta","Dones","Espanya",7241
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Espanya",3343
2021,8,"Nou Barris",45,"Porta","Dones","Espanya",12699
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Espanya",6460
2021,8,"Nou Barris",47,"Can Peguera","Dones","Espanya",5259
2021,8,"Nou Barris",48,"la Guineueta","Dones","Espanya",11705
2021,8,"Nou Barris",49,"Canyelles","Dones","Espanya",3057
2021,8,"Nou Barris",50,"les Roquetes","Dones","Espanya",1166
2021,8,"Nou Barris",51,"Verdun","Dones","Espanya",3841
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Espanya",595
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Espanya",3617
2021,8,"Nou Barris",54,"Torre Baró","Dones","Espanya",1133
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Espanya",5475
2021,8,"Nou Barris",56,"Vallbona","Dones","Espanya",21400
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Espanya",27703
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Espanya",13259
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Espanya",6491
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Espanya",9853
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Espanya",16330
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Espanya",11575
2021,9,"Sant Andreu",63,"Navas","Dones","Espanya",6308
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Espanya",3807
2021,10,"Sant Martí",65,"el Clot","Dones","Espanya",13895
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Espanya",5448
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Espanya",17266
2021,10,"Sant Martí",68,"el Poblenou","Dones","Espanya",8637
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Espanya",9136
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Espanya",11844
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Espanya",12878
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Espanya",17023
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Espanya",24410
2021,1,"Ciutat Vella",1,"el Raval","Dones","Itàlia",861
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Itàlia",637
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Itàlia",932
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Itàlia",3
2021,2,"Eixample",5,"el Fort Pienc","Dones","Itàlia",132
2021,2,"Eixample",6,"la Sagrada Família","Dones","Itàlia",157
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Itàlia",223
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Itàlia",155
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Itàlia",189
2021,2,"Eixample",10,"Sant Antoni","Dones","Itàlia",436
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Itàlia",326
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Itàlia",619
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Itàlia",151
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Itàlia",81
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Itàlia",46
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Itàlia",252
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Itàlia",90
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Itàlia",199
2021,4,"Les Corts",19,"les Corts","Dones","Itàlia",490
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Itàlia",385
2021,4,"Les Corts",21,"Pedralbes","Dones","Itàlia",206
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Itàlia",91
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Itàlia",597
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Itàlia",169
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Itàlia",1158
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Itàlia",509
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Itàlia",293
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Itàlia",107
2021,6,"Gràcia",29,"el Coll","Dones","Itàlia",340
2021,6,"Gràcia",30,"la Salut","Dones","Itàlia",47
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Itàlia",204
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Itàlia",76
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Itàlia",45
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Itàlia",831
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Itàlia",41
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Itàlia",29
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Itàlia",10
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Itàlia",116
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Itàlia",117
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Itàlia",87
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Itàlia",51
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Itàlia",8
2021,7,"Horta-Guinardó",43,"Horta","Dones","Itàlia",38
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Itàlia",14
2021,8,"Nou Barris",45,"Porta","Dones","Itàlia",718
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Itàlia",55
2021,8,"Nou Barris",47,"Can Peguera","Dones","Itàlia",58
2021,8,"Nou Barris",48,"la Guineueta","Dones","Itàlia",93
2021,8,"Nou Barris",49,"Canyelles","Dones","Itàlia",26
2021,8,"Nou Barris",50,"les Roquetes","Dones","Itàlia",8
2021,8,"Nou Barris",51,"Verdun","Dones","Itàlia",14
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Itàlia",7
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Itàlia",35
2021,8,"Nou Barris",54,"Torre Baró","Dones","Itàlia",9
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Itàlia",34
2021,8,"Nou Barris",56,"Vallbona","Dones","Itàlia",897
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Itàlia",229
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Itàlia",188
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Itàlia",105
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Itàlia",167
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Itàlia",537
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Itàlia",315
2021,9,"Sant Andreu",63,"Navas","Dones","Itàlia",304
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Itàlia",152
2021,10,"Sant Martí",65,"el Clot","Dones","Itàlia",700
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Itàlia",197
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Itàlia",906
2021,10,"Sant Martí",68,"el Poblenou","Dones","Itàlia",118
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Itàlia",211
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Itàlia",150
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Itàlia",125
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Itàlia",805
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Itàlia",771
2021,1,"Ciutat Vella",1,"el Raval","Dones","França",445
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","França",269
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","França",395
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","França",0
2021,2,"Eixample",5,"el Fort Pienc","Dones","França",43
2021,2,"Eixample",6,"la Sagrada Família","Dones","França",39
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","França",92
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","França",50
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","França",65
2021,2,"Eixample",10,"Sant Antoni","Dones","França",202
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","França",159
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","França",307
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","França",65
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","França",182
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","França",56
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","França",347
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","França",89
2021,3,"Sants-Montjuïc",18,"Sants","Dones","França",145
2021,4,"Les Corts",19,"les Corts","Dones","França",334
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","França",201
2021,4,"Les Corts",21,"Pedralbes","Dones","França",76
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","França",28
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","França",156
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","França",56
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","França",599
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","França",247
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","França",89
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","França",51
2021,6,"Gràcia",29,"el Coll","Dones","França",138
2021,6,"Gràcia",30,"la Salut","Dones","França",33
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","França",66
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","França",34
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","França",10
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","França",457
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","França",10
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","França",6
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","França",2
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","França",45
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","França",33
2021,7,"Horta-Guinardó",40,"Montbau","Dones","França",27
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","França",23
2021,7,"Horta-Guinardó",42,"la Clota","Dones","França",0
2021,7,"Horta-Guinardó",43,"Horta","Dones","França",18
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","França",3
2021,8,"Nou Barris",45,"Porta","Dones","França",314
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","França",26
2021,8,"Nou Barris",47,"Can Peguera","Dones","França",16
2021,8,"Nou Barris",48,"la Guineueta","Dones","França",21
2021,8,"Nou Barris",49,"Canyelles","Dones","França",0
2021,8,"Nou Barris",50,"les Roquetes","Dones","França",1
2021,8,"Nou Barris",51,"Verdun","Dones","França",1
